STEP, DSSP, SASA, GYRATE, ENERGY
49912, 13, 24.374, 0.797259, -80649.070312
49914, 13, 24.772, 0.79561, -80142.218750
49916, 9, 24.750, 0.797749, -80730.226562
49918, 11, 25.168, 0.80774, -81018.507812
49920, 9, 25.515, 0.807145, -80641.796875
49922, 13, 24.657, 0.803115, -80382.031250
49924, 13, 24.826, 0.806632, -80688.125000
49926, 13, 25.880, 0.802681, -80356.898438
49928, 13, 24.405, 0.797298, -80190.671875
49930, 11, 24.071, 0.798448, -80390.375000
49932, 11, 24.899, 0.798532, -80352.992188
49934, 13, 25.464, 0.800287, -80692.500000
49936, 11, 24.278, 0.795778, -80248.296875
49938, 9, 24.344, 0.801177, -80447.195312
49940, 13, 25.088, 0.808254, -80591.914062
49942, 11, 25.163, 0.804669, -79699.875000
49944, 11, 25.219, 0.800408, -81314.640625
49946, 11, 23.638, 0.797771, -80904.796875
49948, 13, 24.861, 0.799487, -79781.890625
49950, 13, 25.297, 0.799417, -80478.125000
49952, 13, 24.989, 0.803021, -80716.312500
49954, 13, 24.585, 0.801769, -80727.296875
49956, 9, 24.753, 0.795856, -79382.265625
49958, 13, 23.900, 0.796001, -80302.281250
49960, 13, 24.336, 0.793369, -80783.898438
49962, 13, 24.584, 0.795486, -80867.437500
49964, 13, 24.503, 0.795355, -80911.882812
49966, 13, 24.612, 0.791883, -80409.015625
49968, 11, 23.360, 0.788658, -79962.203125
49970, 13, 24.371, 0.794605, -80650.523438
49972, 13, 23.940, 0.792972, -79809.937500
49974, 13, 24.179, 0.790363, -80458.328125
49976, 11, 23.270, 0.779959, -80507.367188
49978, 11, 25.586, 0.790969, -79555.203125
49980, 11, 24.365, 0.790628, -80280.304688
49982, 9, 24.452, 0.791414, -80696.265625
49984, 13, 24.252, 0.789105, -80140.101562
49986, 13, 24.798, 0.797721, -80539.695312
49988, 11, 24.164, 0.800625, -80304.765625
49990, 13, 25.727, 0.799463, -79862.734375
49992, 11, 25.096, 0.800298, -80582.242188
49994, 13, 25.233, 0.802485, -80300.375000
49996, 13, 24.975, 0.806085, -79853.171875
49998, 11, 25.576, 0.798611, -80257.968750
50000, 11, 25.096, 0.796548, -79929.281250

